SSC,Suburb,Population
10820,Empire Bay,2277
10821,Empire Vale,394
10822,Emu Heights (NSW),3358
10823,Emu Plains,8115
10824,Enfield (NSW),2706
10825,Engadine,16858
10826,Englorie Park,377
10827,Enmore (Marrickville - NSW),3569
10828,Enngonia,212
10829,Epping (NSW),20239
10830,Eraring,275
10831,Erina,4635
10832,Erina Heights,423
10833,Ermington,9479
10834,Erowal Bay,554
10835,Erskine Park,6665
10836,Erskineville,6848
10837,Eschol,340
10838,Eschol Park,2649
10839,Estella,1881
10840,Ettalong Beach,4633
10841,Ettrick (NSW),231
10842,Euabalong,380
10843,Eugowra,912
10844,Eulah Creek,189
10845,Eulomogo,760
10846,Eumungerie,425
10847,Eungai Creek,376
10848,Eungai Rail,281
10849,Eungella (NSW),284
10850,Eureka (NSW),305
10851,Eurobodalla,221
10852,Euroka,325
10853,Euston,797
10854,Evans Head,2730
10855,Evans Plains,232
10856,Eveleigh,471
10857,Eviron,283
10858,Ewingar,253
10859,Ewingsdale,712
10860,Exeter (NSW),831
10861,Failford,497
10862,Fairfield (NSW),17037
10863,Fairfield East,5068
10864,Fairfield Heights,6644
10865,Fairfield West,10744
10866,Fairlight,5491
10867,Fairy Hill,300
10868,Fairy Meadow,6588
10869,Falls Creek (NSW),957
10870,Far Meadow,285
10871,Farley,235
10872,Farmborough Heights,4178
10873,Fassifern (NSW),618
10874,Faulconbridge,3983
10875,Faulkland,239
10876,Fawcetts Plain,374
10877,Federal (NSW),720
10878,Fennell Bay,1465
10879,Fern Bay,1628
10881,Fernhill,1024
10882,Fernleigh,276
10883,Fernmount,376
10884,Fernvale (NSW),237
10886,Fiddletown,241
10887,Fifield,287
10888,Figtree,10620
10889,Fingal Bay,1501
10890,Fingal Head,543
10891,Finley,2511
10892,Firefly,489
10894,Fishermans Paradise,421
10895,Fishermans Reach,282
10896,Fishing Point,1048
10897,Fitzroy Falls,209
10898,Five Dock,8740
10899,Fletcher (NSW),2716
10900,Flinders (NSW),5207
10901,Floraville,1545
10902,Forbes (NSW),7550
10903,Forest Hill (NSW),2218
10904,Forest Lodge,2731
10905,Forest Reefs,464
10906,Forestville (NSW),7852
10907,Forresters Beach,2500
10908,Forster (NSW),13113
10909,Fosters Valley,186
10910,Fosterton,243
10911,Fountaindale,629
10912,Foxground,231
10913,Frazers Creek,392
10914,Frederickton,1280
10916,Freemans Reach,2119
10917,Frenchs Forest,13183
10918,Freshwater (NSW),8256
10919,Frogmore,381
10920,Fullerton Cove,301
10921,Galong,339
10922,Galston,2992
10923,Ganbenang,356
10924,Ganmain,613
10925,Garah,549
10926,Garden Suburb,1922
10927,Garra,188
10928,Gateshead,3567
10929,Geneva,575
10930,Georges Hall,8672
10931,Georges Plains,360
10932,Georgetown (NSW),2005
10933,Georgica,247
10934,Gerogery,508
10935,Gerringong,3457
10936,Gerroa,757
10937,Geurie,898
10938,Giants Creek,195
10939,Gilead,348
10940,Gilgai,698
10941,Gilgandra,3133
10942,Gilgooma,174
10943,Gillenbah,405
10944,Gillieston Heights,1369
10945,Gilmore (NSW),249
10946,Gin Gin (NSW),157
10947,Girards Hill,1334
10948,Girilambone,221
10949,Girral,187
10950,Girraween (NSW),4697
10951,Gladesville,10981
10952,Gladstone (NSW),389
10953,Glebe (NSW),11103
10954,Glen Alpine,4325
10955,Glen Davis,289
10956,Glen Innes,6134
10957,Glen Oak,330
10958,Glen William,231
10959,Glenbrook,4942
10960,Glencoe (NSW),352
10961,Glendale (NSW),3289
10962,Glendenning,5029
10963,Glendon Brook,285
10964,Glenfield (NSW),7547
10965,Glenfield Park,5260
10966,Glenhaven,6101
10967,Gleniffer,417
10968,Glenmore Park,20281
10969,Glenning Valley,2058
10970,Glenorie,3405
10971,Glenquarry,250
10972,Glenreagh,863
10973,Glenridding,359
10974,Glenrock (NSW),371
10975,Glenroy (Albury - NSW),2955
10976,Glenroy (Tumbarumba - NSW),329
10977,Glenthorne,263
10978,Glenugie,243
10979,Glenwood (NSW),15323
10980,Glossodia,2860
10981,Gloucester,2870
10982,Gobarralong,199
10983,Gobbagombalin,362
10984,Gocup,167
10985,Godfreys Creek,162
10986,Gol Gol,1592
10987,Gollan,227
10989,Goodnight,225
